Skill,Employees_Missing,Severity
Lyris HQ Web-Analytics Solution,99,MEDIUM
Kanoodle,99,MEDIUM
Customer service knowledge generation software,99,MEDIUM
CU Connect processing software,99,MEDIUM
Telemation e-CRM,99,MEDIUM
Moxi Works MoxiEngage,99,MEDIUM
True North Computer Retail Plus,99,MEDIUM
Parature eRealtime,99,MEDIUM
Systems Union Group MIS DecisionWare,99,MEDIUM
Constant Contact,99,MEDIUM
National Association of Realtors Online Database,99,MEDIUM
TimeTrak Systems ClocTrack,99,MEDIUM
Columbia Ultimate Remit,99,MEDIUM
Astute Solutions PowerCenter,99,MEDIUM
Timpani Chat,99,MEDIUM
Debt account management and collection software,99,MEDIUM
rL Solutions Feedback MonitorPro,99,MEDIUM
EZ Software Solutions,99,MEDIUM
Microsoft Bing,99,MEDIUM
Thomson Financial Investext,99,MEDIUM
Showing Suite Showing Calendar,99,MEDIUM
Customer information databases,99,MEDIUM
Delphi Discovery,99,MEDIUM
LIDP Consulting Services The Administrator,99,MEDIUM
Nedstat Sitestat,99,MEDIUM
Topaz Software Symplifi (CRM feature),99,MEDIUM
RiscStation POSSum,99,MEDIUM
Hootsuite,99,MEDIUM
Commence Application Suite,99,MEDIUM
SBS Keystroke,99,MEDIUM
Agency Software AgencyPro,99,MEDIUM
Multi-channel contact center software,99,MEDIUM
Hagel Unitime Systems,99,MEDIUM
Argosy Legal Systems Power Closer,99,MEDIUM
Lynk Everest,99,MEDIUM
Moxi Works MoxiImpress,99,MEDIUM
ADP Drive DMS for Accounting,99,MEDIUM
Advanced Retail Management Systems Retail Pro,99,MEDIUM
GLOBE Claritas,99,MEDIUM
AMS Services AMS 360,99,MEDIUM
Terrace Consulting AgencyInsight,99,MEDIUM
irs-aims MARS,99,MEDIUM
UNISTAT Statistical Package,99,MEDIUM
j2 Global Communications onebox,99,MEDIUM
Semicron Systems,99,MEDIUM
Quantrax Intelec,99,MEDIUM
iKorb Real Estate,99,MEDIUM
Optical character recognition OCR software,99,MEDIUM
Special Agent,99,MEDIUM
QuickQuote QuickFile Agency Management System,99,MEDIUM
SAP Sybase SQL Anywhere,99,MEDIUM
Sawtooth SSI Web,99,MEDIUM
SamePage StudioCRM,99,MEDIUM
IPS-Sendero Relationship Profitability Manager Catalyst,99,MEDIUM
Computer Directions Route Sales Tracker,99,MEDIUM
DeLorme Topo USA,99,MEDIUM
Wheatworks Real Estate Calculator Suite,99,MEDIUM
Adaptive conjoint analysis ACA software,99,MEDIUM
SSA Global BPCS,99,MEDIUM
Austin Logistics Valeo,99,MEDIUM
Complaint management software,99,MEDIUM
Epic EpicCare Inpatient Clinical System,99,MEDIUM
CPU Tracker Software CPU Tracker,99,MEDIUM
Cytel LogXact,99,MEDIUM
Unified messaging software,99,MEDIUM
VeriFone PC Charge Pro,99,MEDIUM
Customer complaint ticketing management software,99,MEDIUM
CompuTant CounterPoint,99,MEDIUM
Majestic SEO,99,MEDIUM
Mintel Reports,99,MEDIUM
eStara Softphone,99,MEDIUM
Computerized call calendars,99,MEDIUM
Gift registry software,99,MEDIUM
Vantage MCIF,99,MEDIUM
SugarCRM Sugar UX,99,MEDIUM
iShip,99,MEDIUM
RealData Comparative Lease Analysis,99,MEDIUM
Manhattan Cross Cultural Group Quality Interactions,99,MEDIUM
Online meeting software,99,MEDIUM
Moz search engine optimization SEO software,99,MEDIUM
The Retail Solution,99,MEDIUM
Root Systems SPS Process Management,99,MEDIUM
QAD Marketing Automation,99,MEDIUM
Collection Data Systems CollectOne-Tiger,99,MEDIUM
DCI iCore,99,MEDIUM
IBM Information Management System (IMS),99,MEDIUM
Cygnus Software IncomeMax,99,MEDIUM
Easypano Tourweaver,99,MEDIUM
Showing Suite HomeFeedback,99,MEDIUM
HydraNet,99,MEDIUM
Ardexus Mode,99,MEDIUM
Insurance Systems WebWriter BackOffice,99,MEDIUM
Austin Logistics CallSelect,99,MEDIUM
Aprimo Marketing,99,MEDIUM
Inventory software,99,MEDIUM
InsideSales.com,99,MEDIUM
Infocorp Computer Solutions $mart System,99,MEDIUM
Lucero System Office Management,99,MEDIUM
TokenWorks Magnetic Card Reader,99,MEDIUM
AcaStat Software,99,MEDIUM
Thomson Dialog,99,MEDIUM
Columbia Ultimate RPCS,99,MEDIUM
Web-administered databases,99,MEDIUM
Telluride Software Classic Trak-It,99,MEDIUM
Database reporting software,99,MEDIUM
Atlas Search,99,MEDIUM
Tangle S Creations Your Insurance Office,99,MEDIUM
Agent Business Builder,99,MEDIUM
Home rating software,99,MEDIUM
Solar analysis software,99,MEDIUM
LOB RetailPoint,99,MEDIUM
Ahrefs Site Explorer,99,MEDIUM
Novo Customer Tracking Software,99,MEDIUM
Avid Media Composer,99,MEDIUM
Financial calculators software,99,MEDIUM
Agency management software,99,MEDIUM
Showing Suite HomeFollowup,99,MEDIUM
Tigerpaw,99,MEDIUM
MicroBiz,99,MEDIUM
American Precision Instruments Regit,99,MEDIUM
Searchmetrics Suite,99,MEDIUM
Stamps.com software,99,MEDIUM
seoClarity,99,MEDIUM
Electronic data interchange EDI software,99,MEDIUM
Provalis Research Simstat,99,MEDIUM
Main Street Softworks Monetra,99,MEDIUM
"Admissions, discharge, and transfer ADT software",99,MEDIUM
Oracle Darwin,99,MEDIUM
Millennium Software Atrex,99,MEDIUM
"Open Text Fax Server, RightFax Edition",99,MEDIUM
WinMan SureSell,99,MEDIUM
Sawtooth Choice-Base Conjoint CBS,99,MEDIUM
Screaming Frog SEO Spider,99,MEDIUM
RealtyStar AgentOffice,99,MEDIUM
Attitude POS itive AccuPOS Retail,99,MEDIUM
Digivey software (expert system feature),99,MEDIUM
Soffront CRM Portal,99,MEDIUM
Fiserv FSC Manager,99,MEDIUM
Agency Master,99,MEDIUM
Real Pro,99,MEDIUM
MI-Assistant MI Management System,99,MEDIUM
PrimaSoft PC Realtor Organizer Deluxe,99,MEDIUM
TCI XML Credit Interface,99,MEDIUM
General Magic Portico,99,MEDIUM
Google Tag Manager,99,MEDIUM
Contract Central,99,MEDIUM
Parature eTicket,99,MEDIUM
Benefits Technology Group SalesLogix,99,MEDIUM
Aptean Onyx CRM,99,MEDIUM
LogiXML Ad-HOC,99,MEDIUM
InStar Orion,99,MEDIUM
Comcash ERP,99,MEDIUM
The IPIX Real Estate Wizard hometour360 Wizard,99,MEDIUM
Front Desk,99,MEDIUM
Insurance Technologies ForeSight Enterprise,99,MEDIUM
CAP Automation SellWise,99,MEDIUM
FloodMaps,99,MEDIUM
TopProducer,99,MEDIUM
Customer service and support software,99,MEDIUM
Workforce management software,99,MEDIUM
Austin Logistics CallTech,99,MEDIUM
Logisoft Positive Pos System,99,MEDIUM
Exact business software,99,MEDIUM
CareOne CareEnsure,99,MEDIUM
Timpani Email,99,MEDIUM
Showing Suite real estate software,99,MEDIUM
Intellimed,99,MEDIUM
Ardexus TASC,99,MEDIUM
WinCross,99,MEDIUM
Google Search Ads 360,99,MEDIUM
CyberMatrix,99,MEDIUM
Allstar Software Systems Kofax,99,MEDIUM
Advantage Signature Marketing Group Web Master,99,MEDIUM
SalesInSync,99,MEDIUM
Customer Expressions i-Sight,99,MEDIUM
Semrush,99,MEDIUM
WhatsApp,99,MEDIUM
Contract tracking software,99,MEDIUM
DocuSign eSignature,99,MEDIUM
FINEOS Insure,99,MEDIUM
AndersonBell Abstat,99,MEDIUM
Reality Star ProAGENT Power Series Presentations,99,MEDIUM
Bibase 4POS Retail,99,MEDIUM
Conductor Searchlight,99,MEDIUM
Navigation software,99,MEDIUM
ProForce Ultimate Brochures,99,MEDIUM
System Innovators,99,MEDIUM
Cegedim Target Software Target SFA Pharmaceutical Suite,99,MEDIUM
SRC Cash Flow Analyzer Pro,99,MEDIUM
Peminic Patient Safety & Quality Suite,99,MEDIUM
Insurance analysis software,99,MEDIUM
iQmetrix RQ4 Retail Management System,99,MEDIUM
GBS Agency Expert,99,MEDIUM
Datasym SYMFINITE,99,MEDIUM
ClassApps SelectSurveyASP,99,MEDIUM
Lathem Time PayClock EZ,99,MEDIUM
Power Real Estate Letters,99,MEDIUM
Computerized time management systems,99,MEDIUM
Adobe Analytics,99,MEDIUM
GEOCOMtms A.Maze Planning,99,MEDIUM
Customer account management software,99,MEDIUM
Insurance Technology Consultants WOW,99,MEDIUM
Pemimic Patient Relations Suite,99,MEDIUM
Soft Essentials Vending Essentials,99,MEDIUM
Ontario Systems FACS,99,MEDIUM
Point of sale POS bookstore software,99,MEDIUM
SugarSync,99,MEDIUM
Neoforma Healthcare Products Information Services HPIS Market Intelligence,99,MEDIUM
Master Merchant Systems Music Store,99,MEDIUM
Online Database Solutions Agent Intelligence,99,MEDIUM
bMobile Technology Route Manager,99,MEDIUM
Armand Morin MultiTrack Generator,99,MEDIUM
Patient satisfaction assessment software,99,MEDIUM
Hosted Support ezSupport Pro,99,MEDIUM
GMI NET-MR,99,MEDIUM
System3 POS software,99,MEDIUM
HUD-1 software,99,MEDIUM
ProForce Highlight Flyer Master,99,MEDIUM
DORIS FILESERVERonline,99,MEDIUM
Harland Financial Solutions DepositPro,99,MEDIUM
Data warehousing software,99,MEDIUM
Active Data Online WebChat,99,MEDIUM
Verispan Patient Parameters,99,MEDIUM
Open Source Matters Joomla!,99,MEDIUM
ClearEDGE,99,MEDIUM
TNS MarketWhys,99,MEDIUM
Map Maker,99,MEDIUM
Adtec Agency Manager,99,MEDIUM
Databox,99,MEDIUM
Softpedia ShopInvo,99,MEDIUM
Bing Ads,99,MEDIUM
IBM Intelligent Miner,99,MEDIUM
In-Hand Pocket APOD,99,MEDIUM
Applied Systems Vision,99,MEDIUM
Google DoubleClick,99,MEDIUM
NaviSys Front Office,99,MEDIUM
Document creation software,99,MEDIUM
Corporate Information Factory CIF,99,MEDIUM
Synopsys Saber,93,MEDIUM
Automation Counselors municiPAL,93,MEDIUM
State Soil Geographic STATSGO Database,93,MEDIUM
Static Free Software Electric VLSI Design System,93,MEDIUM
Simulation program with integrated circuit emphasis SPICE,93,MEDIUM
Actuarial Systems Corporation DV Direct,93,MEDIUM
Traffic shapers,93,MEDIUM
Simple network management protocol SNMP software,93,MEDIUM
IntelliCAD,93,MEDIUM
Sync Essentials Trade Accountant,93,MEDIUM
RabbitMQ,93,MEDIUM
ADP Enterprise eTIME,93,MEDIUM
Epic Practice Management,93,MEDIUM
Microsoft Network Monitor,93,MEDIUM
MDeverywhere,93,MEDIUM
SkillTRAN OASYS,93,MEDIUM
Compaq Insight Manager,93,MEDIUM
NWChem,93,MEDIUM
Cadence Concept,93,MEDIUM
J,93,MEDIUM
Google Chrome,93,MEDIUM
Cimatron CimatronE,93,MEDIUM
After the Deadline,93,MEDIUM
LandlordMax,93,MEDIUM
Concurrency control software,93,MEDIUM
Component-based Scalable Logical Architecture CSLA,93,MEDIUM
AeroHydro MultiSurf,93,MEDIUM
PRe Consultants SimaPro,93,MEDIUM
Diagramming software,93,MEDIUM
Autodesk Topobase,93,MEDIUM
FileMon,93,MEDIUM
Thomson Creative Solutions Engagement CS,93,MEDIUM
Incremental compiler software,93,MEDIUM
ACS Technologies ACS Financial Suite,93,MEDIUM
Marathon Data Systems ServiceCEO,93,MEDIUM
LinkCAD,93,MEDIUM
Apple Cocoa,93,MEDIUM
SmartBear Software AutomatedQA TestComplete,93,MEDIUM
Kentech Kipware Studio,93,MEDIUM
IpFilter,93,MEDIUM
Benaissance COBRApoint,93,MEDIUM
FieldSoft AIMSonScene,93,MEDIUM
Blue Chip Computer Consultants HumaNET,93,MEDIUM
Property Insight TitlePoint,93,MEDIUM
Amkai AmkaiCharts,93,MEDIUM
Genesys PeopleComeFirst,93,MEDIUM
SOAPware EMR,93,MEDIUM
Tradeweb Markets Tradeweb,93,MEDIUM
HEC-1,93,MEDIUM
Sage CPAAccounts Payable,93,MEDIUM
Financial Competence,93,MEDIUM
PSTek,93,MEDIUM
CGI-AMS CACS Enterprise,93,MEDIUM
Connectivity software,93,MEDIUM
Paisley IssueTrack,93,MEDIUM
HealthFusion MediTouch,93,MEDIUM
ANSYS ASAS,93,MEDIUM
Electrical power management system software,93,MEDIUM
JetBrains IntelliJ IDEA,93,MEDIUM
Adobe Acrobat Pro Extended,93,MEDIUM
athenahealth athenaCollector,93,MEDIUM
Citi The Yield Book Calculator,93,MEDIUM
Pentaho Kettle,93,MEDIUM
Patch management software,93,MEDIUM
Piney Creek Digital Protocol System,93,MEDIUM
Oracle Data Guard,93,MEDIUM
Harrington Group HQMS,93,MEDIUM
Diagnostic scanner software,93,MEDIUM
Microsoft Volume Shadow Copy Service,93,MEDIUM
HashiCorp Vagrant,93,MEDIUM
Made2Manage Supply Chain Management,93,MEDIUM
Topographic map software,93,MEDIUM
Credit card processing software,93,MEDIUM
Ascentis HR,93,MEDIUM
Clustermatic,93,MEDIUM
Quest SQL Optimizer for Oracle,93,MEDIUM
Security incident management software,93,MEDIUM
Choice Technologies PowerBill +,93,MEDIUM
Domin-8 Enterprise Solutions RentRight,93,MEDIUM
Exact MAX,93,MEDIUM
Saigun Technologies EmpXtrack,93,MEDIUM
PTC Pro/Pipe,93,MEDIUM
DuPont ColorNet,93,MEDIUM
Elite Software FIRE,93,MEDIUM
QGIS,93,MEDIUM
Greenplum Database,93,MEDIUM
Progress WebSpeed Workshop,93,MEDIUM
Database testing software,93,MEDIUM
Kentech Kipware X CNC,93,MEDIUM
Talisma Knowledgebase,93,MEDIUM
SAP NetWeaver,93,MEDIUM
Paisley RiskNavigator,93,MEDIUM
ESRI ArcGIS ArcPy,93,MEDIUM
Rapid prototyping software,93,MEDIUM
PE INTERNATIONAL SoFi,93,MEDIUM
MSC Software Patran,93,MEDIUM
z-Tree,93,MEDIUM
File management software,93,MEDIUM
JETCAM,93,MEDIUM
FluidSurveys,93,MEDIUM
Bentley Systems InRoads Suite,93,MEDIUM
PV Optics,93,MEDIUM
Gambit Scheme,93,MEDIUM
REScheck,93,MEDIUM
DesignBuilder Software DesignBuilder,93,MEDIUM
LibreOffice,93,MEDIUM
CA Easytrieve Report Generator,93,MEDIUM
Intel Math Kernel Library,93,MEDIUM
Student record software,93,MEDIUM
CP2K,93,MEDIUM
SAS Data Integration Studio,93,MEDIUM
Autodesk Building Systems,93,MEDIUM
Route,93,MEDIUM
Network traffic probe software,93,MEDIUM
NextGen Healthcare Information Systems EMR,93,MEDIUM
OPNET SP Sentinel,93,MEDIUM
BioEx Systems Nutrition Maker Plus,93,MEDIUM
RGA Facultative Application Console,93,MEDIUM
Automatic Data Processing AdvancedMD EHR,93,MEDIUM
Coglin Mill RODIN,93,MEDIUM
Gerber Technology CutWorks,93,MEDIUM
Transas Group PISCES2,93,MEDIUM
Network intrusion prevention systems NIPS,93,MEDIUM
ATX Total Tax Office,93,MEDIUM
Giraffe Production Systems Giraffe Schedule System,93,MEDIUM
FLorida Object Oriented Design Simulator FLOODS,93,MEDIUM
Yardi Systems Yardi Voyager Commercial,93,MEDIUM
Cluster server software,93,MEDIUM
Data dictionary software,93,MEDIUM
RegMon,93,MEDIUM
Softimage Extreme,93,MEDIUM
Boundary scan description language BSDL,93,MEDIUM
Microsoft Forefront Identify Manager,93,MEDIUM
Compuware ClientVantage Agentless Monitoring,93,MEDIUM
ACCA Manual J,93,MEDIUM
MathWorks Simulink Fixed-Point Blockset,93,MEDIUM
System testing software,93,MEDIUM
Security risk assessment software,93,MEDIUM
Oracle Net Manager,93,MEDIUM
SIS SEMCI PARTNER,93,MEDIUM
Benefit Software Fringe Facts,93,MEDIUM
Autodesk 3ds Max,93,MEDIUM
Object Management Group Object Request Broker,93,MEDIUM
Imperva SecureSphere,93,MEDIUM
Infoblox security and networking software,93,MEDIUM
Travis Software TravisFlex,93,MEDIUM
ComputerEase construction accounting software,93,MEDIUM
Autodesk 3D Studio Design,93,MEDIUM
Gamma waste assay system GWAS,93,MEDIUM
Resource and patient management system RPMS scheduling software,93,MEDIUM
BEA Tuxedo,93,MEDIUM
Microsoft Playwright,93,MEDIUM
Haskell,93,MEDIUM
Ada,93,MEDIUM
Verilog,93,MEDIUM
Oracle iPlanet Web Server,93,MEDIUM
Pilgrim Quality Solutions SmartSolve,93,MEDIUM
Red Sweater MarsEdit,93,MEDIUM
ACL Audit Exchange,93,MEDIUM
Moody's KMV Risk Analyst,93,MEDIUM
SkillTRAN Job Browser Pro,93,MEDIUM
Avalara AvaTax ST,93,MEDIUM
Ebenefits Solutions Benefits Management,93,MEDIUM
Simple API for XML SAX,93,MEDIUM
BMC Software Remedy IT Service Management Suite,93,MEDIUM
Interoperability testing software,93,MEDIUM
Chaos Enscape,93,MEDIUM
Sage CPAAccounts Receivable,93,MEDIUM
Mentor Graphics PADS,93,MEDIUM
Lead Activity Analyzer,93,MEDIUM
FlashCut CNC,93,MEDIUM
Geac MPC Production,93,MEDIUM
ManagerPlus,93,MEDIUM
AcornSystems Corporate Performance Management,93,MEDIUM
ProQuest Public Affairs Information Service (PAIS) database,93,MEDIUM
Incentive management system software,93,MEDIUM
Source code migration software,93,MEDIUM
IBM Content Manager,93,MEDIUM
Password management software,93,MEDIUM
Magma Design Automation Blast Create,93,MEDIUM
Niku Clarity,93,MEDIUM
Load testing software,93,MEDIUM
Network architecture design software,93,MEDIUM
Operating system shells,93,MEDIUM
Network security auditing software,93,MEDIUM
Common gateway interface CGI,93,MEDIUM
New Millennium Communications Genesis Accounting,93,MEDIUM
Microsoft Windows SDK,93,MEDIUM
Perforce Software Configuration Management System,93,MEDIUM
ISS RealSecure,93,MEDIUM
Talend Open Studio,93,MEDIUM
Adobe XD,93,MEDIUM
Tropics workers' compensation software,93,MEDIUM
Database security software,93,MEDIUM
Penetration testing software,93,MEDIUM
Program for Energy Analysis of Residences PEAR,93,MEDIUM
Byrne Software Technologies Visual HCS,93,MEDIUM
EBSCO Publishing Academic Search Premier,93,MEDIUM
UGS Solid Edge,93,MEDIUM
The MathWorks Real-Time Workshop,93,MEDIUM
Autodesk Land Desktop,93,MEDIUM
NIIT Technologies WinRisk,93,MEDIUM
FLorida Object Oriented Process Simulator FLOOPS,93,MEDIUM
Audit management software,93,MEDIUM
Network reporting software,93,MEDIUM
XML Path Language XPATH,93,MEDIUM
Symantec pcAnywhere,93,MEDIUM
Computer Associates integrated data management system CA-IDMS,93,MEDIUM
Cronometer,93,MEDIUM
ExtraTech Machine Tools Suite,93,MEDIUM
Computational statistics software,93,MEDIUM
Online traffic calculator software,93,MEDIUM
Zabbix,93,MEDIUM
CyberArk,93,MEDIUM
Peopleclick AAPlanner,93,MEDIUM
Fixed income alternative trading systems ATS,93,MEDIUM
Teradata Active Enterprise Data Warehouse,93,MEDIUM
Datavantage,93,MEDIUM
SpecsInTact,93,MEDIUM
IBM Rational Functional Tester,93,MEDIUM
Klear Estimator,93,MEDIUM
Pivotal Z Prestige Scheduler,93,MEDIUM
MasterWriter,93,MEDIUM
Geometric CAMWorks,93,MEDIUM
JetBrains PhpStorm,93,MEDIUM
Oracle Siebel CRM,93,MEDIUM
Patch and update management software,93,MEDIUM
ADO.NET,93,MEDIUM
Retrofit Energy Savings Estimation Model RESEM,93,MEDIUM
BeamChek,93,MEDIUM
Moody's KMV Financial Analyst,93,MEDIUM
Electronic train management system software,93,MEDIUM
Clarified Networks Clarified Analyzer,93,MEDIUM
Berkshire Associates BALANCEaap,93,MEDIUM
Database management systems,93,MEDIUM
Tcpdump,93,MEDIUM
Information systems integration software,93,MEDIUM
EZFacility Trainer Management System,93,MEDIUM
Preactor Finite Capacity Scheduling,93,MEDIUM
Three-dimensional modeling software,93,MEDIUM
Qualtrics Insight,93,MEDIUM
Check Point Next Generation Secure Web Gateway,93,MEDIUM
Langlais Computer Consultants CalMan,93,MEDIUM
FEMA EMMIE,93,MEDIUM
LexisNexis Accurint,93,MEDIUM
Coventor CoventorWare,93,MEDIUM
BlackBerry Enterprise Server,93,MEDIUM
Experian FraudShield,93,MEDIUM
Jest,93,MEDIUM
Postman,93,MEDIUM
AutoDesSys form Z,93,MEDIUM
Virus protection software,93,MEDIUM
Appium,93,MEDIUM
Capacity planning software,93,MEDIUM
Honeywell Wintress PACNet,93,MEDIUM
Heron CrossTie General Ledger,93,MEDIUM
Kali Linux,93,MEDIUM
Survey Sense,93,MEDIUM
Molecular visualization software,93,MEDIUM
Progress Sonic ESB,93,MEDIUM
Data extraction software,93,MEDIUM
ATX Total Accounting Office,93,MEDIUM
Synopsys HSPICE,93,MEDIUM
Very high-speed integrated circuit VHSIC hardware description language VHDL,93,MEDIUM
ACCUCert,93,MEDIUM
BroadSoft BroadWorks,93,MEDIUM
Stroud & Associates Employee Benefits Administration System,93,MEDIUM
React Native,93,MEDIUM
PQ Systems CHARTrunner Lean,93,MEDIUM
Work Technology WorkTech Time,93,MEDIUM
Accvision ABMIS,93,MEDIUM
Trane TRACE,93,MEDIUM
SBC Systems Benefits Workstation,93,MEDIUM
Dynatrace,93,MEDIUM
1ST Pricing Window & Door Toolkit,93,MEDIUM
Doxygen,93,MEDIUM
ASIDATAMYTE DataMetrics,93,MEDIUM
Turtle Creek Software Goldenseal (time accounting feature),93,MEDIUM
Sage Platinum for Windows PFW,93,MEDIUM
Cadence Dracula,93,MEDIUM
Lamar Info Net,93,MEDIUM
Fielding Data Labs OptoMizer,93,MEDIUM
Micro Estimating FabPlan,93,MEDIUM
CAMA Software Quality Collaboration By Design QCBD,93,MEDIUM
Segue SilkPerformer,93,MEDIUM
SolidCAM iMachining,93,MEDIUM
Interstate connection ICON,93,MEDIUM
Darwin information typing architecture DITA,93,MEDIUM
Roxio Retrospect,93,MEDIUM
Bare Bones Software BBEdit,93,MEDIUM
Pentana audit work system PAWS,93,MEDIUM
One pass compiler software,93,MEDIUM
Autodesk Revit Architecture,93,MEDIUM
Symantec Veritas NetBackup,93,MEDIUM
Call tracking software,93,MEDIUM
RSS Solutions NaView,93,MEDIUM
Microservices Architecture,93,MEDIUM
Delcam PartMaker,93,MEDIUM
Automated audit trail analysis software,93,MEDIUM
Ping Identity,93,MEDIUM
Technos Astra R-Nesting,93,MEDIUM
Geographic information system GIS databases,93,MEDIUM
Hugging Face,93,MEDIUM
Finite difference time domain FDTD software,93,MEDIUM
Safe Software FME,93,MEDIUM
Landscape modeling software,93,MEDIUM
Symantec Veritas File System,93,MEDIUM
Charm++,93,MEDIUM
Intrax ProcedureNet,93,MEDIUM
Freedom Scientific MAGic,93,MEDIUM
InfinityHR,93,MEDIUM
Appointment scheduling software,93,MEDIUM
Intelitek spectraCAM Milling,93,MEDIUM
NIKSUN NetDetector,93,MEDIUM
Nutrient analysis software,93,MEDIUM
Apex Business Software iHR,93,MEDIUM
Fair Isaac Falcon ID,93,MEDIUM
Xcircuit,93,MEDIUM
Microsoft Systems Management Server,93,MEDIUM
Actuarial Systems Corporation Document Generation and Management System,93,MEDIUM
Ekotrope RATER,93,MEDIUM
Storymind StoryWeaver,93,MEDIUM
Pascal,93,MEDIUM
Data validation software,93,MEDIUM
Project planning software,93,MEDIUM
Cworks CMMS,93,MEDIUM
CoreLogic DebtorTrace,93,MEDIUM
BNA Estate and Gift Tax Suite,93,MEDIUM
MineSight,93,MEDIUM
NextGen Healthcare NextGen Practice Management,93,MEDIUM
Structured Query Report SQR,93,MEDIUM
Oracle Enterprise Manager,93,MEDIUM
Cartesis Magnitude iAnalysis,93,MEDIUM
Automated installation software,93,MEDIUM
Production scheduling and planning software,93,MEDIUM
Just-in-time compiler,93,MEDIUM
Hewlett-Packard HP Network Node Manager,93,MEDIUM
Fannie Mae Desktop Underwriter,93,MEDIUM
Storage management software,93,MEDIUM
Linear Technology LTSpice,93,MEDIUM
eMASS,93,MEDIUM
SentryOne SQL Sentry,93,MEDIUM
Win CE,93,MEDIUM
Advanced numerical software,93,MEDIUM
Turtle Creek Software Goldenseal (calendar and scheduling feature),93,MEDIUM
SolarWinds,93,MEDIUM
PRONTO Xi,93,MEDIUM
Accounting compliance software,93,MEDIUM
Fair Isaac Capstone Decision Manager,93,MEDIUM
Hierarchical simulation program with integrated circuit emphasis HSPICE,93,MEDIUM
Abbott Informatics STARLIMS:LIMS,93,MEDIUM
Strand7,93,MEDIUM
Network shutdown software,93,MEDIUM
Embedded systems development software,93,MEDIUM
LAMMPS Molecular Dynamics Simulator,93,MEDIUM
Distributed database management software,93,MEDIUM
Direct motion computer numerically controlled CNC software,93,MEDIUM
Revision control software,93,MEDIUM
IBM InfoSphere Warehouse,93,MEDIUM
Oracle Flow Manufacturing,93,MEDIUM
Syntactically awesome style sheets SASS,93,MEDIUM
Microsoft Azure Data Factory,93,MEDIUM
WinBUGS,93,MEDIUM
QuantumWise Atomistix ToolKit,93,MEDIUM
Teleconferencing software,93,MEDIUM
HP DataProtector,93,MEDIUM
Gradle,93,MEDIUM
RealEasyBooks ezREB,93,MEDIUM
Cerner PowerWorks Practice Management,93,MEDIUM
AutoCrit Editing Wizard,93,MEDIUM
Boris FX Continuum Complete,93,MEDIUM
Microsoft Windows Pre-installation Environment,93,MEDIUM
Biometric reader software,93,MEDIUM
HydroComp NavCad,93,MEDIUM
Yocum & McKee The Complete AAP,93,MEDIUM
Autodesk MapGuide,93,MEDIUM
Remote control software,93,MEDIUM
ChartWare EMR,93,MEDIUM
Arbutus Analyzer,93,MEDIUM
Aonix Software Through Pictures,93,MEDIUM
MEMSCAP MEMS Pro,93,MEDIUM
Billing software,93,MEDIUM
Logic synthesis software,93,MEDIUM
PerfectSoftware PerfectHR,93,MEDIUM
Standardized general markup language SGML,93,MEDIUM
Network addressable storage NAS software,93,MEDIUM
Performance Solutions Technology ManagePro,93,MEDIUM
Architectural Energy Corporation ENFORMA Building Diagnostics,93,MEDIUM
SoftICE,93,MEDIUM
Benelogic,93,MEDIUM
Visual Health Information The Trainer's Exercise Toolbox,93,MEDIUM
MAGIC software,93,MEDIUM
Data manipulation language DML,93,MEDIUM
Autodesk Algor Simulation,93,MEDIUM
Multidimensional Expressions MDX,93,MEDIUM
HOMER Micropower Optimization Model,93,MEDIUM
Root cause analysis software,93,MEDIUM
Vero International VISI-Series,93,MEDIUM
Dassault Systemes Abaqus,93,MEDIUM
Register transfer language RTL,93,MEDIUM
JFrog Artifactory,93,MEDIUM
End-to-end encryption software,93,MEDIUM
Autodesk Ecotect Analysis,93,MEDIUM
Oracle Recovery Manager,93,MEDIUM
MyFamilySoftware Instant Architect,93,MEDIUM
OpenRoads Designer,93,MEDIUM
Amazon Web Services AWS SageMaker,93,MEDIUM
ej-technologies JProfiler,93,MEDIUM
Paisley Focus Control Assurance,93,MEDIUM
IBM Rational PurifyPlus,93,MEDIUM
MapInfo Professional,93,MEDIUM
Animation software,93,MEDIUM
Nmap,93,MEDIUM
Microsoft Dynamics ERP,93,MEDIUM
DataPath dpiSuite,93,MEDIUM
CGI-AMS BureauLink Enterprise,93,MEDIUM
Figure 53 QLab,93,MEDIUM
Xilinx ISE Foundation,93,MEDIUM
Hewlett-Packard HP SolidDesigner,93,MEDIUM
CPSI EHR System,93,MEDIUM
Tension Technology International OPTIMOOR,93,MEDIUM
ShipConstructor,93,MEDIUM
Virtual Corporation Sustainable Planner,93,MEDIUM
Elite Software HSYM,93,MEDIUM
Autodesk PartMaker,93,MEDIUM
Visible Razor,93,MEDIUM
Knight BondPoint,93,MEDIUM
Oracle software,93,MEDIUM
HyperSpace,93,MEDIUM
Simple mail transfer protocol SMTP,93,MEDIUM
Chart Links,93,MEDIUM
Google Video,93,MEDIUM
OpenService Open NerveCenter,93,MEDIUM
Discrete Fourier transform DFT analysis software,93,MEDIUM
Write Brothers Dramatica,93,MEDIUM
Cadence OrCAD software,93,MEDIUM
Intusoft ICAP,93,MEDIUM
Symantec LiveState,93,MEDIUM
ESRI ArcIMS,93,MEDIUM
Microsoft Hyperterminal,93,MEDIUM
Clipper,93,MEDIUM
